ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,PERIODO,ESTU_CONSECUTIVO,ESTU_ESTUDIANTE,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,ESTU_DEPTO_RESIDE,ESTU_COD_RESIDE_DEPTO,ESTU_MCPIO_RESIDE,ESTU_COD_RESIDE_MCPIO,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_CODIGO_ICFES,COLE_COD_DANE_ESTABLECIMIENTO,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_COD_DANE_SEDE,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,COLE_COD_DEPTO_UBICACION,COLE_DEPTO_UBICACION,ESTU_PRIVADO_LIBERTAD,ESTU_COD_MCPIO_PRESENTACION,ESTU_MCPIO_PRESENTACION,ESTU_DEPTO_PRESENTACION,ESTU_COD_DEPTO_PRESENTACION,PUNT_GLOBAL,ESTU_NSE_INDIVIDUAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_ESTADOINVESTIGACION,edad,INSE,GLOBAL_CATEGORICO
9,2,1,20222,66004,0,2,0,18,76.0,12,76001.0,4,8,1,1,4,1,1,1,1,1,0,1,0,0,2,1,1,9,9,0,4,3,0,0,267658,176001007875,290,2,1,0,0,3,176001012089,406,0,1,1,76001,0,76,0,0,76001.0,11,25,76.0,264,1,3.0,1,17.0,49.7,0
9,2,1,20214,53422,0,2,0,18,76.0,12,76001.0,9,7,2,2,4,1,1,1,1,1,0,0,0,0,0,2,3,9,4,2,0,2,0,0,628669,376001013190,66,2,0,0,0,2,376001013190,87,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,194,1,2.0,1,15.0,48.9,0
9,2,0,20214,52148,0,2,0,18,76.0,12,76001.0,8,8,0,1,4,1,0,1,0,1,0,0,0,0,1,3,3,3,11,0,4,3,0,0,725333,176001043791,263,2,1,0,0,2,176001043791,287,1,1,5,76001,0,76,0,0,76001.0,11,25,76.0,200,1,2.0,1,16.0,50.4,0
9,2,1,20202,35302,0,2,0,18,76.0,12,76001.0,0,0,2,2,3,1,1,1,0,1,1,1,0,3,3,3,1,10,10,2,1,1,0,0,28993,376001001582,153,2,0,0,0,0,376001001582,176,1,1,0,76001,0,76,0,0,76001.0,11,25,76.0,259,3,3.0,1,17.0,70.5,0
0,2,0,20202,42611,0,2,0,18,76.0,12,76001.0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,3,1,3,2,8,0,2,2,0,0,89235,376001034090,88,2,0,0,0,3,376001034090,109,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,227,3,3.0,1,18.0,68.0,0
9,2,0,20222,58897,0,2,0,18,76.0,12,76001.0,7,7,0,1,2,1,1,1,1,0,0,0,0,1,1,1,1,0,11,0,1,1,0,0,59006,376001023870,43,2,0,0,0,3,376001023870,61,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,219,1,2.0,1,16.0,47.1,0
9,2,0,20222,63731,0,2,0,18,76.0,12,76001.0,8,6,1,2,4,1,0,1,0,1,0,0,0,0,0,3,0,9,11,2,0,3,1,1,731349,176001001702,233,2,1,0,0,3,176001001702,260,1,1,5,76001,0,76,0,0,76001.0,11,25,76.0,256,1,2.0,1,17.0,44.8,0
9,2,0,20194,32145,0,2,0,18,76.0,12,76001.0,10,10,1,1,1,1,1,0,1,1,0,1,0,1,1,3,3,3,8,0,2,1,4,1,726141,176001005813,242,2,1,0,0,3,176001005813,268,1,1,5,76001,0,76,0,0,76001.0,11,25,76.0,222,2,3.0,1,16.0,55.6,0
9,2,1,20194,29221,0,2,0,18,76.0,12,76001.0,8,8,1,1,4,1,1,1,1,1,0,1,1,2,0,1,1,4,11,0,2,3,3,1,106021,376001027280,314,2,0,0,0,2,376001027280,336,1,1,0,76001,0,76,0,0,76001.0,11,25,76.0,252,2,3.0,1,15.0,55.2,0
9,2,1,20214,55654,0,2,0,18,76.0,12,76001.0,8,8,1,3,0,1,1,1,0,1,0,0,1,0,3,1,0,8,12,1,0,1,0,0,659573,176001004485,247,2,1,0,0,3,176001004485,272,1,1,5,76001,0,76,0,0,76001.0,11,25,76.0,220,2,2.0,1,17.0,55.3,0
