PERIODO,COLE_COD_DANE_ESTABLECIMIENTO,COLE_COD_DANE_SEDE,PUNT_GLOBAL,edad,ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_PAIS_RESIDE,ESTU_DEPTO_RESIDE,ESTU_MCPIO_RESIDE,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_MCPIO_UBICACION,COLE_DEPTO_UBICACION,GLOBAL_CATEGORICO
20222,376001000000.0,376001000000.0,202,17.0,10,7,1,7,23,16,9,9,2,1,2,1,1,1,0,1,0,1,0,1,1,1,1,3,9,2,0,0,1,1,230,2,0,0,0,3,257,1,1,2,0,0,0
20214,176001000000.0,176001000000.0,197,17.0,10,7,0,7,23,16,9,9,1,2,4,1,0,1,0,1,0,0,0,0,0,3,2,3,2,0,0,2,3,0,348,2,1,0,0,3,378,1,1,1,0,0,0
20194,176001000000.0,176001000000.0,271,16.0,10,7,1,7,23,16,9,10,0,2,2,1,1,0,0,1,0,1,0,2,1,0,3,3,11,0,4,1,0,0,356,2,1,0,0,3,385,1,1,1,0,0,0
20194,376001000000.0,376001000000.0,190,16.0,10,7,0,7,23,16,9,2,1,1,2,1,0,0,0,1,0,0,0,0,1,0,0,10,7,1,4,3,0,0,43,2,0,0,0,0,64,1,1,1,0,0,0
20194,176001000000.0,176001000000.0,182,17.0,10,7,1,7,23,16,7,10,1,3,3,1,0,1,1,1,1,1,1,0,0,3,0,3,8,1,4,4,0,0,322,2,1,0,0,3,355,1,1,4,0,0,0
20194,176001000000.0,176001000000.0,205,16.0,10,7,0,7,23,16,3,9,1,1,4,1,1,1,0,1,0,0,0,0,3,3,1,5,10,2,1,1,0,0,341,2,1,0,0,3,372,1,1,1,0,0,0
20194,176001000000.0,176001000000.0,188,16.0,10,7,0,7,23,16,8,8,1,1,2,1,0,0,0,1,0,0,0,0,0,3,0,6,11,2,0,1,0,0,366,2,1,0,0,3,393,1,1,4,0,0,0
20182,176001000000.0,176001000000.0,197,17.0,10,7,1,7,23,16,6,0,1,2,4,1,1,1,1,1,0,1,1,1,1,3,1,6,2,0,4,3,3,1,348,2,1,0,0,3,378,1,1,1,0,0,0
20172,376001000000.0,376001000000.0,180,20.0,0,7,1,7,23,16,8,8,1,0,2,1,1,0,0,1,0,0,0,0,0,3,0,6,6,2,0,1,0,0,411,2,0,0,0,0,439,1,1,1,0,0,0
20181,376001000000.0,376001000000.0,280,19.0,0,7,1,7,23,16,9,9,4,0,2,1,1,1,1,1,1,0,1,2,1,0,3,8,8,1,0,2,0,0,452,2,0,1,1,0,496,1,1,0,0,0,0
20194,176001000000.0,176001000000.0,209,17.0,10,7,0,7,23,16,9,9,2,1,4,1,1,1,1,1,1,0,0,0,1,3,0,3,3,0,0,0,0,0,347,2,1,0,0,3,377,1,1,4,0,0,0
20172,176001000000.0,176001000000.0,210,16.0,10,7,0,7,23,16,7,9,0,1,2,1,1,0,0,1,0,0,0,1,0,1,2,6,3,0,1,2,1,1,377,2,1,0,0,3,406,1,1,2,0,0,0
20191,376001000000.0,376001000000.0,194,17.0,0,7,0,7,23,16,7,0,2,2,1,1,1,1,1,1,1,0,0,0,1,3,1,0,2,1,0,1,0,0,426,2,0,1,0,0,453,1,1,3,0,0,0
20182,176002000000.0,176002000000.0,252,16.0,10,7,0,7,23,16,6,2,0,1,4,1,1,1,0,1,0,0,0,0,1,0,0,6,9,0,0,2,3,1,323,2,1,0,0,3,20,0,1,1,0,0,0
20214,176001000000.0,176001000000.0,277,16.0,10,7,0,7,23,16,8,8,0,2,5,0,1,0,0,1,0,0,0,1,1,1,1,6,11,0,2,1,0,0,293,2,1,0,0,3,331,1,1,5,0,0,0
20222,176001000000.0,176001000000.0,208,17.0,10,7,1,7,23,16,7,8,1,1,4,1,0,1,1,1,0,0,0,0,1,1,0,11,2,2,0,1,3,0,304,2,1,0,0,3,558,0,1,5,0,0,0
20214,376001000000.0,376001000000.0,278,16.0,10,7,1,7,23,16,8,8,1,2,0,1,1,1,1,1,0,1,1,0,0,3,0,3,12,0,0,1,0,0,200,2,0,0,0,2,231,1,1,1,0,0,0
20202,176001000000.0,176001000000.0,232,17.0,2,7,0,7,23,16,8,8,1,2,1,1,0,1,0,1,0,0,1,2,0,1,0,12,9,0,2,0,0,0,281,2,1,0,0,3,321,1,1,5,0,0,0
20194,176001000000.0,176001000000.0,264,16.0,10,7,1,7,23,16,6,8,1,1,4,1,1,1,1,1,0,0,0,0,0,3,3,5,11,1,4,0,0,0,373,2,1,0,0,3,65,1,1,5,0,0,0
